DEBUG   |200310 08:54:49| -- Resetting Akeeba Engine factory (backend.id2)
DEBUG   |200310 08:54:49|Fetching filter data from database
DEBUG   |200310 08:54:49|Loading filters
DEBUG   |200310 08:54:49|-- Loading filter Files
DEBUG   |200310 08:54:49|-- Loading filter Directories
DEBUG   |200310 08:54:49|-- Loading filter Skipfiles
DEBUG   |200310 08:54:49|-- Loading filter Regextabledata
DEBUG   |200310 08:54:49|-- Loading filter Tabledata
DEBUG   |200310 08:54:49|-- Loading filter Regextables
DEBUG   |200310 08:54:49|-- Loading filter Tables
DEBUG   |200310 08:54:49|-- Loading filter Skipdirs
DEBUG   |200310 08:54:49|-- Loading filter Incremental
DEBUG   |200310 08:54:49|-- Loading filter HostingFolders
DEBUG   |200310 08:54:49|-- Loading filter OutputSkipSubdirectories
DEBUG   |200310 08:54:49|-- Loading filter OutputSkipFiles
DEBUG   |200310 08:54:49|-- Loading filter ExcludeErrorLogs
DEBUG   |200310 08:54:49|-- Loading filter SiteDatabase
DEBUG   |200310 08:54:49|-- Loading filter SiteRoot
DEBUG   |200310 08:54:49|-- Loading filter InstallationDirectory
DEBUG   |200310 08:54:49|-- Loading filter ExcludeFiles
DEBUG   |200310 08:54:49|-- Loading filter OSThumbnailCacheFiles
DEBUG   |200310 08:54:49|Loading optional filters
DEBUG   |200310 08:54:49|-- Loading optional filter Stack\StackHoststats
DEBUG   |200310 08:54:49|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |200310 08:57:45| -- Resetting Akeeba Engine factory (backend.id3)
DEBUG   |200310 08:57:45|Fetching filter data from database
DEBUG   |200310 08:57:45|Loading filters
DEBUG   |200310 08:57:45|-- Loading filter Files
DEBUG   |200310 08:57:45|-- Loading filter Directories
DEBUG   |200310 08:57:45|-- Loading filter Skipfiles
DEBUG   |200310 08:57:45|-- Loading filter Regextabledata
DEBUG   |200310 08:57:45|-- Loading filter Tabledata
DEBUG   |200310 08:57:45|-- Loading filter Regextables
DEBUG   |200310 08:57:45|-- Loading filter Tables
DEBUG   |200310 08:57:45|-- Loading filter Skipdirs
DEBUG   |200310 08:57:45|-- Loading filter Incremental
DEBUG   |200310 08:57:45|-- Loading filter HostingFolders
DEBUG   |200310 08:57:45|-- Loading filter OutputSkipSubdirectories
DEBUG   |200310 08:57:45|-- Loading filter OutputSkipFiles
DEBUG   |200310 08:57:45|-- Loading filter ExcludeErrorLogs
DEBUG   |200310 08:57:45|-- Loading filter SiteDatabase
DEBUG   |200310 08:57:45|-- Loading filter SiteRoot
DEBUG   |200310 08:57:45|-- Loading filter InstallationDirectory
DEBUG   |200310 08:57:45|-- Loading filter ExcludeFiles
DEBUG   |200310 08:57:45|-- Loading filter OSThumbnailCacheFiles
DEBUG   |200310 08:57:45|Loading optional filters
DEBUG   |200310 08:57:45|-- Loading optional filter Stack\StackHoststats
DEBUG   |200310 08:57:45|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |200310 08:58:47| -- Resetting Akeeba Engine factory (backend.id1)
DEBUG   |200310 08:58:47|Fetching filter data from database
DEBUG   |200310 08:58:47|Loading filters
DEBUG   |200310 08:58:47|-- Loading filter Files
DEBUG   |200310 08:58:47|-- Loading filter Directories
DEBUG   |200310 08:58:47|-- Loading filter Skipfiles
DEBUG   |200310 08:58:47|-- Loading filter Regextabledata
DEBUG   |200310 08:58:47|-- Loading filter Tabledata
DEBUG   |200310 08:58:47|-- Loading filter Regextables
DEBUG   |200310 08:58:47|-- Loading filter Tables
DEBUG   |200310 08:58:47|-- Loading filter Skipdirs
DEBUG   |200310 08:58:47|-- Loading filter Incremental
DEBUG   |200310 08:58:47|-- Loading filter HostingFolders
DEBUG   |200310 08:58:47|-- Loading filter OutputSkipSubdirectories
DEBUG   |200310 08:58:47|-- Loading filter OutputSkipFiles
DEBUG   |200310 08:58:47|-- Loading filter ExcludeErrorLogs
DEBUG   |200310 08:58:47|-- Loading filter SiteDatabase
DEBUG   |200310 08:58:47|-- Loading filter SiteRoot
DEBUG   |200310 08:58:47|-- Loading filter InstallationDirectory
DEBUG   |200310 08:58:47|-- Loading filter ExcludeFiles
DEBUG   |200310 08:58:47|-- Loading filter OSThumbnailCacheFiles
DEBUG   |200310 08:58:47|Loading optional filters
DEBUG   |200310 08:58:47|-- Loading optional filter Stack\StackHoststats
DEBUG   |200310 08:58:47|-- Loading optional filter Stack\StackErrorlogs
